,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.77,0.91
1,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.77,0.91
2,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,21077.0,0.77,0.91
3,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.77,0.91
4,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.77,0.91
5,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.77,0.91
6,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.77,0.91
7,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.77,0.91
8,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,59.0,0,,11077.0,0.77,0.91
9,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.77,0.91
10,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.77,0.91
11,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.77,0.91
12,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.77,0.91
13,,,,第1节,-1.5,0.83,1.5,0.83,146.5,0.83,146.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.77,0.91
14,,,,第1节,-1.5,0.83,1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.77,0.91
15,,,,第1节,-1.5,0.83,1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,42.0,0,,21077.0,0.77,0.91
16,,,,第1节,-1.5,0.83,1.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,42.0,0,,21077.0,0.77,0.91
17,,,,第1节,-1.5,0.83,1.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,33.0,0,,21077.0,0.77,0.91
18,,,,第1节,-1.5,0.83,1.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,33.0,0,,11077.0,0.77,0.91
19,,,,第1节,-1.5,0.83,1.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,27.0,0,,11077.0,0.77,0.91
20,,,,第1节,-1.5,0.83,1.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,27.0,0,,11077.0,0.77,0.91
21,,,,第1节,-1.5,0.83,1.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,18.0,0,,11077.0,0.77,0.91
22,,,,第1节,-1.5,0.83,1.5,0.83,142.5,0.83,142.5,0.83,142.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,18.0,0,,21077.0,0.77,0.91
23,,,,第1节,-1.5,0.83,1.5,0.83,142.5,0.83,142.5,0.83,142.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,12.0,0,,21077.0,0.71,1.0
24,,,,第1节,-1.5,0.83,1.5,0.83,142.5,0.83,142.5,0.83,142.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,12.0,0,,21077.0,0.71,1.0
25,,,,第1节,-1.5,0.83,1.5,0.83,142.5,0.83,142.5,0.83,142.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,3.0,0,,21077.0,0.71,1.0
26,,,,第1节,-1.5,0.83,1.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,3.0,0,,21077.0,0.71,1.0
27,,,,第1节,-1.5,0.83,1.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,8.0,GD,55.0,0,,11077.0,0.77,0.91
28,,,,第1节,-1.5,0.83,1.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,8.0,GD,55.0,0,,11074.0,0.77,0.91
29,,,,第1节,-1.5,0.83,1.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,55.0,0,,21077.0,0.77,0.91
30,,,,第1节,-1.5,0.8,-1.5,0.87,141.5,0.83,141.5,0.83,-1.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,55.0,0,,21077.0,0.77,0.91
31,,,,第1节,1.5,0.8,-1.5,0.87,141.5,0.83,143.5,0.83,1.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,55.0,0,,21077.0,0.77,0.91
32,,,,第1节,1.5,0.8,-1.5,0.87,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,55.0,0,,21077.0,0.77,0.91
33,,,,第1节,1.5,0.8,-1.5,0.87,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,27.0,0,,21077.0,0.87,0.8
34,,,,第1节,1.5,0.8,-1.5,0.87,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,27.0,0,,11077.0,0.87,0.8
35,,,,第1节,1.5,0.77,-1.5,0.91,141.5,0.83,140.5,0.83,141.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,27.0,0,,21077.0,0.87,0.8
36,,,,第1节,1.5,0.77,-1.5,0.91,140.5,0.83,140.5,0.83,140.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,27.0,0,,21077.0,0.87,0.8
37,,,,第1节,1.5,0.77,-1.5,0.91,140.5,0.83,140.5,0.83,140.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,18.0,0,,21077.0,0.87,0.8
38,,,,第1节,1.5,0.87,2.5,0.8,140.5,0.83,140.5,0.83,2.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,18.0,0,,21077.0,0.87,0.8
39,,,,第1节,-2.5,0.87,2.5,0.8,140.5,0.83,143.5,0.83,-2.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,18.0,0,,21077.0,0.87,0.8
40,,,,第1节,-2.5,0.87,2.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,18.0,0,,21077.0,0.87,0.8
41,,,,第1节,-2.5,0.87,2.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,8.0,GD,8.0,0,,21077.0,0.87,0.8
42,,,,第1节,-2.5,0.87,2.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,8.0,GD,8.0,0,,21075.0,0.66,1.1
43,,,,第1节,-2.5,0.87,2.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1,8.0,GD,8.0,0,,11077.0,0.66,1.1
44,,,,第1节,-2.5,0.87,2.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1,7.0,GD,48.0,0,,11077.0,0.66,1.1
45,,,,第1节,-2.5,0.87,2.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1,7.0,GD,48.0,0,,11074.0,0.66,1.1
46,,,,第1节,-2.5,0.87,2.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1,7.0,GD,48.0,0,,21077.0,0.66,1.1
47,,,,第1节,-2.5,0.91,1.5,0.77,143.5,0.83,143.5,0.83,1.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1,7.0,GD,48.0,0,,21077.0,0.66,1.1
48,,,,第1节,-1.5,0.91,1.5,0.77,143.5,0.83,144.5,0.83,-1.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1,7.0,GD,48.0,0,,21077.0,0.66,1.1
49,,,,第1节,-1.5,0.91,1.5,0.77,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1,7.0,GD,48.0,0,,21077.0,0.66,1.1
50,,,,第1节,-1.5,0.91,1.5,0.77,144.5,0.83,143.5,0.83,144.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1,7.0,GD,48.0,0,,21077.0,0.8,0.87
51,,,,第1节,-1.5,0.91,1.5,0.77,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1,7.0,GD,48.0,0,,21077.0,0.8,0.87
52,,,,第1节,-1.5,0.91,1.5,0.77,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1,7.0,GD,36.0,0,,21077.0,0.8,0.87
53,,,,第1节,-1.5,0.91,1.5,0.77,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1,7.0,GD,36.0,0,,11077.0,0.83,0.83
54,,,,第1节,-1.5,0.91,1.5,0.77,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1,7.0,GD,36.0,0,,11074.0,0.83,0.83
55,,,,第1节,-1.5,0.91,1.5,0.77,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,31.0,0,,21077.0,0.83,0.83
56,,,,第1节,-1.5,0.83,-1.5,0.83,143.5,0.83,143.5,0.83,-1.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,31.0,0,,21077.0,0.83,0.83
57,,,,第1节,1.5,0.83,-1.5,0.83,143.5,0.83,145.5,0.83,1.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,31.0,0,,21077.0,0.83,0.83
58,,,,第1节,1.5,0.83,-1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,31.0,0,,21077.0,0.83,0.83
59,,,,第1节,1.5,0.83,-1.5,0.83,145.5,0.83,144.5,0.83,145.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,31.0,0,,21077.0,1.0,0.71
60,,,,第1节,1.5,0.83,-1.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,31.0,0,,21077.0,1.0,0.71
61,,,,第1节,1.5,0.83,-1.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,11.0,0,,21077.0,1.0,0.71
62,,,,第1节,1.5,0.83,-1.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,11.0,0,,21077.0,1.0,0.71
63,,,,第1节,1.5,0.83,-1.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,6.0,0,,21077.0,1.0,0.71
64,,,,第1节,1.5,0.83,-1.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,6.0,0,,21077.0,1.0,0.71
65,,,,第1节,1.5,0.83,-1.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1,7.0,GD,5.0,0,,21077.0,1.0,0.71
66,,,,第1节,1.5,0.83,-1.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1,7.0,GD,5.0,0,,21074.0,1.0,0.71
67,,,,第1节,1.5,0.83,-1.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1,7.0,GD,5.0,0,,11077.0,1.0,0.71
68,,,,第1节,1.5,0.91,1.5,0.77,143.5,0.83,143.5,0.83,1.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1,7.0,GD,5.0,0,,11077.0,1.0,0.71
69,,,,第1节,-1.5,0.91,1.5,0.77,143.5,0.83,146.5,0.83,-1.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1,7.0,GD,5.0,0,,11077.0,1.0,0.71
70,,,,第1节,-1.5,0.91,1.5,0.77,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1,7.0,GD,5.0,0,,11077.0,1.0,0.71
71,,,,第1节,-1.5,0.91,1.5,0.77,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1,6.0,GD,49.0,0,,21077.0,0.83,0.83
72,,,,第1节,-1.5,0.91,1.5,0.77,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1,6.0,GD,49.0,0,,21077.0,0.83,0.83
73,,,,第1节,-1.5,0.91,1.5,0.77,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1,6.0,GD,37.0,0,,21077.0,0.8,0.87
74,,,,第1节,-1.5,0.91,1.5,0.77,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,1,6.0,GD,37.0,0,,11086.0,0.8,0.87
75,,,,第1节,-1.5,0.91,1.5,0.77,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,1,6.0,GD,37.0,0,,21077.0,0.8,0.87
76,,,,第1节,-1.5,0.83,1.5,0.83,144.5,0.83,145.5,0.83,144.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,1,6.0,GD,37.0,0,,21077.0,0.8,0.87
77,,,,第1节,-1.5,0.83,1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,1,6.0,GD,37.0,0,,21077.0,0.8,0.87
78,,,,第1节,-1.5,0.83,1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,1:2,,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,1,6.0,GD,37.0,0,,21078.0,0.71,1.0
79,,,,第1节,-1.5,0.83,1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,1:2,,0.0,1.0,3.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,6.0,0.0,1,6.0,GD,37.0,0,,21079.0,0.71,1.0
80,,,,第1节,-1.5,0.83,1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,2:2,,0.0,1.0,3.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,6.0,6.0,0.0,1,6.0,GD,37.0,0,,21078.0,0.71,1.0
81,,,,第1节,-1.5,0.83,1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,2:2,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,6.0,7.0,0.0,1,6.0,GD,37.0,0,,21079.0,0.71,1.0
82,,,,第1节,-1.5,0.83,1.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,37.0,0,,11077.0,0.71,1.0
83,,,,第1节,-1.5,0.87,2.5,0.8,145.5,0.83,145.5,0.83,2.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,37.0,0,,11077.0,0.71,1.0
84,,,,第1节,-2.5,0.87,2.5,0.8,145.5,0.83,146.5,0.83,-2.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,37.0,0,,11077.0,0.71,1.0
85,,,,第1节,-2.5,0.87,2.5,0.8,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,37.0,0,,11077.0,0.71,1.0
86,,,,第1节,-2.5,0.87,2.5,0.8,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,31.0,0,,11077.0,0.66,1.1
87,,,,第1节,-2.5,0.83,2.5,0.83,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,31.0,0,,21077.0,0.66,1.1
88,,,,第1节,-2.5,0.83,2.5,0.83,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,18.0,0,,21077.0,0.66,1.1
89,,,,第1节,-2.5,0.83,2.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,18.0,0,,21077.0,0.66,1.1
90,,,,第1节,-2.5,0.83,2.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,2.0,0,,11077.0,0.66,1.1
91,,,,第1节,-2.5,0.87,2.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,2.0,0,,11077.0,0.66,1.1
92,,,,第1节,-2.5,0.87,2.5,0.77,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,2.0,0,,11077.0,0.66,1.1
93,,,,第1节,-2.5,0.91,1.5,0.77,143.5,0.83,143.5,0.83,1.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,2.0,0,,11077.0,0.66,1.1
94,,,,第1节,-1.5,0.91,1.5,0.77,143.5,0.83,146.5,0.83,-1.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,2.0,0,,11077.0,0.66,1.1
95,,,,第1节,-1.5,0.91,1.5,0.77,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,2.0,0,,11077.0,0.66,1.1
96,,,,第1节,-1.5,0.91,1.5,0.77,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,3.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,6.0,0.0,1,6.0,GD,1.0,0,,11077.0,0.66,1.1
97,,,,第1节,-1.5,0.91,1.5,0.77,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,4.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,8.0,6.0,0.0,1,6.0,GD,1.0,0,,11074.0,0.66,1.1
98,,,,第1节,-1.5,0.91,1.5,0.77,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,1.0,4.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,8.0,0.0,1,6.0,GD,1.0,0,,21077.0,0.66,1.1
