,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第2节,-1.5,0.83,1.5,0.83,165.5,0.83,165.5,0.83,,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,2.0,19.0,0,,11077,0.71,1.0
1,,,,第2节,-1.5,0.83,1.5,0.83,165.5,0.83,165.5,0.83,,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,2.0,0.0,0,,11077,0.71,1.0
2,,,,第2节,-1.5,0.83,1.5,0.83,165.5,0.83,165.5,0.83,,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,0.0,0,,11077,0.71,1.0
3,,,,第2节,-1.5,0.83,1.5,0.83,165.5,0.83,165.5,0.83,,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,57.0,0,,11077,0.71,1.0
4,,,,第2节,-1.5,0.8,1.5,0.87,163.5,0.83,163.5,0.83,163.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,57.0,0,,21077.0,0.71,1.0
5,,,,第2节,-1.5,0.8,1.5,0.87,163.5,0.83,163.5,0.83,163.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,44.0,0,,21077.0,0.71,1.0
6,,,,第2节,-1.5,0.8,1.5,0.87,163.5,0.83,163.5,0.83,163.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,44.0,0,,21077.0,0.66,1.1
7,,,,第2节,-1.5,0.8,1.5,0.87,163.5,0.83,163.5,0.83,163.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,24.0,0,,21077.0,0.66,1.1
8,,,,第2节,-1.5,0.83,1.5,0.83,161.5,0.83,161.5,0.83,161.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,24.0,0,,21077.0,0.66,1.1
9,,,,第2节,-1.5,0.83,1.5,0.83,161.5,0.83,161.5,0.83,161.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,24.0,0,,11077.0,0.71,1.0
10,,,,第2节,-1.5,0.83,1.5,0.83,161.5,0.83,161.5,0.83,161.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,12.0,0,,21077.0,0.71,1.0
11,,,,第2节,-1.5,0.8,1.5,0.87,160.5,0.83,160.5,0.83,160.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,1.0,12.0,0,,21077.0,0.71,1.0
12,,,,第2节,-1.5,0.8,1.5,0.87,160.5,0.83,160.5,0.83,160.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,57.0,0,,21077.0,0.66,1.1
13,,,,第2节,-1.5,0.83,1.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,57.0,0,,11077.0,0.66,1.1
14,,,,第2节,-1.5,0.8,1.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,57.0,0,,11077.0,0.71,1.0
15,,,,第2节,-1.5,0.8,1.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,50.0,0,,11077.0,0.66,1.1
16,,,,第2节,-1.5,0.8,1.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,50.0,0,,21077.0,0.66,1.1
17,,,,第2节,-1.5,0.8,1.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,45.0,0,,21077.0,0.66,1.1
18,44.0,5.0,,第2节,-1.5,0.8,1.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,1.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,45.0,0,,21081.0,0.66,1.1
19,44.0,5.0,,第2节,-1.5,0.83,1.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,45.0,0,,11077.0,0.66,1.1
20,44.0,5.0,,第2节,-1.5,0.83,1.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,41.0,0,,11077.0,0.66,1.1
21,44.0,5.0,,第2节,-1.5,0.83,1.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,41.0,0,,21077.0,0.71,1.0
22,44.0,5.0,,第2节,-1.5,0.83,1.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,35.0,0,,21077.0,0.71,1.0
23,44.0,5.0,,第2节,-1.5,0.8,1.5,0.87,158.5,0.83,158.5,0.83,158.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,35.0,0,,11077.0,0.66,1.1
24,44.0,5.0,,第2节,-1.5,0.8,1.5,0.87,158.5,0.83,158.5,0.83,158.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,24.0,0,,11077.0,0.66,1.1
25,44.0,5.0,,第2节,-1.5,0.83,1.5,0.83,157.5,0.83,157.5,0.83,157.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,24.0,0,,11077.0,0.66,1.1
26,44.0,5.0,,第2节,-1.5,0.83,1.5,0.83,157.5,0.83,157.5,0.83,157.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,20.0,0,,11077.0,0.71,1.0
27,44.0,5.0,,第2节,-1.5,0.8,1.5,0.87,156.5,0.83,156.5,0.83,156.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,20.0,0,,21077.0,0.71,1.0
28,44.0,5.0,,第2节,-1.5,0.8,1.5,0.87,156.5,0.83,156.5,0.83,156.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,1.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,5.0,0,,21077.0,0.66,1.1
29,44.0,5.0,,第2节,-1.5,0.8,1.5,0.87,156.5,0.83,156.5,0.83,156.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,5.0,0,,11086.0,0.66,1.1
30,44.0,5.0,,第2节,-1.5,0.8,1.5,0.87,155.5,0.83,155.5,0.83,155.5,,,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,5.0,0,,21077.0,0.66,1.1
31,44.0,5.0,,第2节,-1.5,0.8,1.5,0.83,155.5,0.83,155.5,0.83,155.5,,1:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,5.0,0,,21078.0,0.66,1.1
32,44.0,5.0,,第2节,-1.5,0.83,2.5,0.83,155.5,0.83,155.5,0.83,2.5,,1:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,5.0,0,,21078.0,0.66,1.1
33,44.0,5.0,,第2节,-2.5,0.83,2.5,0.83,155.5,0.83,157.5,0.83,-2.5,,1:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,5.0,0,,21078.0,0.66,1.1
34,44.0,5.0,,第2节,-2.5,0.83,2.5,0.83,157.5,0.83,157.5,0.83,157.5,,1:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,5.0,0,,21078.0,0.66,1.1
35,44.0,5.0,,第2节,-2.5,0.83,2.5,0.83,157.5,0.83,157.5,0.83,157.5,,1:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,3.0,0,,21078.0,0.63,1.2
36,44.0,5.0,,第2节,-2.5,0.83,2.5,0.83,156.5,0.83,156.5,0.83,156.5,,1:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,36.0,0.0,1,0.0,3.0,0,,21078.0,0.63,1.2
37,44.0,5.0,,第2节,-2.5,0.83,2.5,0.83,156.5,0.83,156.5,0.83,156.5,,1:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,40.0,39.0,36.0,0.0,1,0.0,3.0,0,,21080.0,0.63,1.2
38,44.0,5.0,,第2节,-2.5,0.8,1.5,0.87,156.5,0.83,156.5,0.83,1.5,,2:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,40.0,39.0,36.0,0.0,1,0.0,3.0,0,,21078.0,0.63,1.2
39,44.0,5.0,,第2节,-1.5,0.8,1.5,0.8,156.5,0.83,156.5,0.83,-1.5,,2:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,40.0,39.0,36.0,0.0,1,0.0,3.0,0,,21078.0,0.66,1.1
40,44.0,5.0,,第2节,-1.5,0.87,2.5,0.8,156.5,0.83,156.5,0.83,2.5,,2:2,,3.0,4.0,13.0,11.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,40.0,39.0,36.0,0.0,1,0.0,3.0,0,,21078.0,0.66,1.1
41,44.0,5.0,,第2节,-2.5,0.87,2.5,0.8,156.5,0.83,156.5,0.83,-2.5,,2:2,,3.0,4.0,13.0,11.0,4.0,3.0,2.0,0.0,2.0,3.0,66.7,50.0,39.0,37.0,0.0,1,0.0,3.0,0,,21079.0,0.66,1.1
42,44.0,5.0,,第2节,-2.5,0.87,2.5,0.8,156.5,0.83,156.5,0.83,-2.5,,,,3.0,4.0,13.0,11.0,4.0,3.0,2.0,0.0,2.0,3.0,66.7,50.0,37.0,39.0,0.0,1,0.0,3.0,0,,11077.0,0.66,1.1
43,44.0,5.0,,第2节,-2.5,0.87,2.5,0.8,156.5,0.83,156.5,0.83,-2.5,,,,3.0,4.0,13.0,11.0,4.0,3.0,2.0,0.0,2.0,3.0,66.7,50.0,37.0,39.0,0.0,1,0.0,1.0,0,,21077.0,0.63,1.2
44,44.0,5.0,,第2节,-2.5,0.83,2.5,0.83,156.5,0.83,156.5,0.83,-2.5,,,,3.0,4.0,13.0,11.0,4.0,3.0,2.0,0.0,2.0,3.0,66.7,50.0,37.0,39.0,0.0,1,10.0,1.0,0,,21077.0,0.0,1.25
45,44.0,5.0,,第2节,-2.5,0.83,2.5,0.83,156.5,0.83,156.5,0.83,-2.5,,,,3.0,4.0,13.0,11.0,4.0,3.0,2.0,0.0,2.0,3.0,66.7,50.0,37.0,39.0,0.0,1,10.0,0.0,0,,21077.0,0.0,1.25
46,44.0,5.0,,第2节,-2.5,0.83,2.5,0.83,156.5,0.83,156.5,0.83,-2.5,,,,3.0,4.0,13.0,11.0,4.0,3.0,2.0,0.0,2.0,3.0,66.7,50.0,37.0,39.0,0.0,1,10.0,0.0,0,,1083.0,0.0,1.25
